sku_id,title,sector,lowest_price,brand_name,category,sub_category,product_type,gender,description,tags,featured_image
PMUMYURED910,Myugen Nike Bitches Oversized Hoodie Red,apparel,3499,Myugen,tops,hoodie,Hoodie,,"A loud statement piece built straight from sneaker culture. The back features bold typography and a classic high-top silhouette, calling out the fact that hype, attention, and status always orbit around the right pair on your feet. It’s playful, it’s blunt, and it doesn’t ask for permission. The front keeps it simple with “Classic is the new modern” for everyday wear when the flex doesn’t need volume. If you know the culture, you get it. Specs:Fabric: 420 GSM, premium heavy cottonFit: Oversized, drop shoulderPrint: High-definition DTF (Durable. Crisp. Fade-resistant.)Color: Red",[],https://cdn.shopify.com/s/files/1/0781/5498/9816/files/MygenNikeBitchesOversizedHoodieRed_1.png?v=1766506805&width=800
POLEAR3A4AC6,Polo Bear Fleece Hoodie Cruise Navy Denim Bear,apparel,0,polo ralph lauren,tops,hoodie,,,,"['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual']",https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1416225_lifestyle?$rl_4x5_zoom$
FEAACKE6D711,Fear of God Essentials Fleece Hoodie II 'Black',apparel,4560,fear of god,tops,t shirt,,,,"['t shirt', 't-shirt', 'tees', 'tops', 'bestseller']",https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/106/193/087/original/1422279_01.jpg.jpeg?action=crop&width=1000
BESHOSSTA,Essentials Hoodie SS20 - Taupe,apparel,3990,fear of god,tops,hoodie,,,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/04-04-2025-111624-beshossta_photo1.jpeg
BLKBLATER886,BLACKLIST ESSENTIAL CROSS BLACK SWEATSHIRT,apparel,2999,blacklist co,tops,sweater,,,,[],https://cdn.shopify.com/s/files/1/0652/7837/8089/files/298.png?v=1765448013&width=800
ALLIRT59F83D,ALL SAINTS UNDERGROUND SS CREW RUBY RED TSHIRT,apparel,3420,all saints,tops,tank top,,,,"['tank top', 'summer', 'tank', 'tops']",https://cdn.culture-circle.com/media/cc_images_url_creator/new_2025_11/new_2025_15/ChatGPT%20Image%20Aug%2026%2C%202025%2C%2010_54_24%20PM.png
POLAVY210A52,Polo Ralph Lauren Cable-Knit Cotton Crewneck Sweater Hunter Navy,apparel,7182,polo ralph lauren,tops,sweater,clothing,female,,"['winter', 'sweater', 'sweaters', 'knitwear']",https://cdn.culture-circle.com/media/cc_images_url_creator/5%20Dec%202025/ChatGPT%20Image%20Dec%208%2C%202025%2C%2002_39_30%20PM.png
FKCOCDIE345,Cocaine Hoodie,apparel,3499,forfksake,tops,hoodie,,,"The “Cocaine” Black Hoddie isn’t just a T-shirt — it’s a statement. Inspired by counterculture design and vintage streetwear energy, this piece blends rebellious attitude with minimal, high-fashion aesthetics. Crafted from premium cotton for a soft yet structured feel, it’s made for those who don’t play it safe.",[],https://cdn.shopify.com/s/files/1/0623/0248/6631/files/BlackHoodie.png?v=1760261023&width=800
POLLUE1A8E24,Polo Bear Fleece Sweatshirt Save to Wishlist Polo Ralph Lauren (Austin Blue),apparel,0,polo ralph lauren,tops,sweatshirt,clothing,male,,"['sweatshirt', 'winter', 'hoodies', 'sweatshirts', 'athletic']",https://cdn.culture-circle.com/media/cc_images_url_creator/17%20Nov/Untitled%20design%20(72).png
AMILUE2F123E,AMIRI MA Core Logo hoodie blue,apparel,0,amiri,tops,hoodie,,,,"['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual']",https://cdn.culture-circle.com/media/cc_images_url_creator/25%20NOV/28%20Nov/blue%20bnp.png
AMIACK50CD0B,Ami de Coeur Oversized Jersey T-Shirt (Black),apparel,7980,ami paris,tops,t shirt,clothing,male,,"['t shirt', 't-shirt', 'tees', 'tops']",https://cdn.culture-circle.com/media/cc_images_url_creator/25%20NOV/ChatGPT%20Image%20Nov%2026%2C%202025%2C%2003_14_46%20PM.png
BLKBLAIRT270,BLACKLIST CLASSIC BLACK POLO SWEATSHIRT,apparel,2999,blacklist co,tops,polo shirt,,,,[],https://cdn.shopify.com/s/files/1/0652/7837/8089/files/112_f40f138a-7a7f-4f21-85bc-b80672759e44.png?v=1763661389&width=800
FEAACK2DB271,Fear of God Essentials  Crewneck Tee (FW24)Black,apparel,2964,fear of god,tops,t shirt,,,,"['t shirt', 't-shirt', 'tees', 'tops']",https://images.stockx.com/images/Fear-of-God-Essentials-Kids-Jersey-Crewneck-Tee-FW24-Black.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&q=60&dpr=1&trim=color&updated_at=1731586054
BESTESSJEBL,Essentials Tee SS23 - Jet Black,apparel,3021,fear of god,tops,t shirt,,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['t shirt', 't-shirt', 'tees', 'tops', 'bestseller']",https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/089/616/531/original/1224574_01.jpg.jpeg?action=crop&width=1000
BEIEAM24A63A,Beige Cotton Ami de Coeur Patch T-Shirt (WHITE CREAM),apparel,9633,ami paris,tops,t shirt,clothing,male,,"['t shirt', 't-shirt', 'tees', 'tops']",https://cdn.culture-circle.com/media/cc_images_url_creator/25%20OCT/30%20Oct/Untitled%20design%20-%202025-10-29T214144.129.png
BLK46473BLAIRT614,BLACKLIST CLASSIC WINE POLO SWEATSHIRT,apparel,2999,blacklist co,tops,sweatshirt,,,,[],https://cdn.shopify.com/s/files/1/0652/7837/8089/files/111.png?v=1763661003&width=800
PMUMYUACK760,Myugen Diet Coke Oversized Hoodie Black,apparel,3499,Myugen,tops,hoodie,Hoodie,,"Sweet, sharp, and unapologetically nostalgic — this tee pays tribute to the pop culture classic that defined an era. The “Diet Coke Social Club” is a tongue-in-cheek nod to effortless cool — the kind that doesn’t chase trends, it sets them. The cracked metallic print and collegiate arch design give it that vintage sportswear edge, blending irony with authenticity. “Just for the taste of it” isn’t just a slogan — it’s a lifestyle. For the ones who sip different. Specs:Fabric: 420 GSM, premium heavy cottonFit: Oversized, drop shoulderPrint: High-definition DTF (Durable. Crisp. Fade-resistant.)Color: Black",[],https://cdn.shopify.com/s/files/1/0781/5498/9816/files/MyugenEssentialsDietCokeOversizedHoodieBlack_1_4b668e34-736c-4e92-aecb-742aad6237a5.png?v=1766509164&width=800
KENIRT21B186,KENZO Orange classic T-shirt,apparel,5130,kenzo,tops,t shirt,clothing,male,,"['t shirt', 't-shirt', 'tees', 'tops']",https://image-raw.reversible.com/raw_images/073d2cfbd7b0dd83f756f0f2f983a7f677e9383908d1d6e03c5e198de50e76ac
APPFEOFGOESHOLIOA,Essentials Hoodie SS22 - Light Oatmeal,apparel,3990,fear of god,tops,hoodie,,,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://cdn.findyourkicks.com/uploads/all/awdMe8izyKdJ6mW94hmNZQVTLnUS6oaa7mlS4PVw.png
GOKEKETIVAOVTSHBLAPBL_G_FD65TS0084SG_99J,Kenzo Tiger Varsity Oversize T-Shirt 'Black',apparel,3625,kenzo,tops,t shirt,tops,male,,"['t shirt', 't-shirt', 'tees', 'tops', 'bestseller']",https://image.goat.com/750/attachments/product_template_pictures/images/094/643/220/original/1180449_00.png.png
WOMIRTBB2790,Black Ikonik T-shirt,apparel,4616,karl lagerfeld,tops,t shirt,clothing,male,,"['t shirt', 't-shirt', 'tees', 'tops']",https://cdn.culture-circle.com/media/cc_images_url_creator/new_2025_1786/907238-11187646_2a1a9ddc-c013-4f43-bf29-689e1a4593d3-removebg-preview.png
TIEIRT179DF2,ALL SAINTS TIERRA SS CREW BOSTON TAPE,apparel,3420,all saints,tops,t shirt,,,,"['t shirt', 't-shirt', 'tees', 'tops']",https://assets.ajio.com/medias/sys_master/root/20241004/vIzV/66ffefbd260f9c41e85505f6/-473Wx593H-469702221-bostontaupe-MODEL.jpg
KENIRTDBFD3F,Kenzo logo-patch cotton polo shirt,apparel,0,kenzo,tops,polo shirt,clothing,male,,"['polo shirt', 'shirts', 'casual', 'tops']",https://cdn-images.farfetch-contents.com/19/42/93/95/19429395_43197431_1000.jpg
YGMENKET199,THE MAVERICK LEATHER JACKET,apparel,7995,Young Grandpa,outerwear,jacket,,,,[],https://cdn.shopify.com/s/files/1/0867/1589/2007/files/Untitled_design_-_2025-11-11T224952.712.png?v=1768034077&width=800
BLK42889BLAIRT442,BLACKLIST CLASSIC OLIVE GREEN POLO SWEATSHIRT,apparel,2999,blacklist co,tops,sweatshirt,,,,[],https://cdn.shopify.com/s/files/1/0652/7837/8089/files/94.png?v=1763368167&width=800
APPESHOSM,Essentials Hoodie Smoke,apparel,3990,fear of god,tops,hoodie,tops,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual']",https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/1746775243_appeshosm_photo1.png?v=1746775244
SOHEAM025E49,"Saucy club Travis Socks Set Of Three (Fragment Blue, Black,  Cream)",apparel,999,saucy club,daily essentials,socks,,,,"['athletic', 'socks', 'hosiery']",https://cdn.culture-circle.com/media/cc_images_url_creator/new_2025_31/travis%20pack%5B1%5D.png
APPFEOFGOESHOSSEG,Fear Of God Essentials Hoodie Ss22 Eggshell,apparel,3999,fear of god,tops,hoodie,tops,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/04-04-2025-092306-appfeofgoeshosseg_photo1.jpeg
POLACK722593,Polo Ralph Lauren Cable-Knit Cotton Crewneck Sweater  Black,apparel,7182,polo ralph lauren,tops,sweater,clothing,female,,"['winter', 'sweaters', 'knitwear', 'sweater']",https://cdn.culture-circle.com/media/cc_images_url_creator/5%20Dec%202025/Untitled%20design%20-%202025-12-05T021125.636.png
BIGIRTD43BE6,ALL SAINTS BIGGY SS CREW BAILEY TAUPE,apparel,3420,all saints,tops,t shirt,,,,"['t shirt', 't-shirt', 'tees', 'tops']",https://www.allsaints.com/dw/image/v2/BHHD_PRD/on/demandware.static/-/Sites-allsaints-emea-master-catalog/default/dw8bea2cf6/images/large/M088PB/9051/M088PB-9051-1.jpg?q=80
YEFORUMXCINDER,Yeezy Foam Runner Mx Cinder,footwear,5814,yeezy,daily footwear,clogs,sneakers,male,,"['shoes', 'clogs']",https://cdn.culture-circle.com/media/cc_images_url_creator/12%20Dec%202025/30%20dec%202025/Untitled%20design%20-%202026-01-07T033234.978.png
ADIITED9C45A,Adizero Evo SL 'Black White',footwear,13395,adidas,performance footwear,running shoes,sneakers,male,,"['running', 'shoes', 'running shoes', 'sneakers', 'athletic', 'bestseller']",https://image.goat.com/transform/v1/attachments/product_template_pictures/images/104/750/931/original/JP7149.png.png?action=crop&width=600
90BLCA,9060 Black Castlerock,footwear,12312,new balance,casual footwear,sneakers,sneakers,male,,"['shoes', 'sneakers', 'athletic', 'casual', 'bestseller']",https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/31-03-2025-052956-9060_black_castlerock.png
ADYE35V2CABE,Adidas Yeezy 350 V2 Carbon Beluga,footwear,9196,yeezy,casual footwear,sneakers,sneakers,male,,"['shoes', 'sneakers', 'athletic', 'casual', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/12%20Dec%202025/30%20dec%202025/Untitled%20design%20-%202026-01-07T031744.332.png
GOONCLBLIVSHBL,Cloudtilt 'Black Ivory',footwear,16986,on,performance footwear,running shoes,sneakers,male,,"['running', 'shoes', 'running shoes', 'sneakers', 'athletic', 'bestseller']",https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/31-03-2025-052231-goonclblivshbl_photo1.png
BADORSAOGCLWH,ADIDAS ORIGINALS SAMBA OG 'CLOUD WHITE',footwear,7638,adidas,casual footwear,sneakers,sneakers,male,,"['shoes', 'sneakers', 'athletic', 'casual', 'bestseller']",https://image.goat.com/transform/v1/attachments/product_template_pictures/images/012/527/811/original/BZ0057.png.png?action=crop&width=600
JORTOED430DD,Air Jordan 1 Low SE 'Black Toe' 2025,footwear,10032,nike,performance footwear,running shoes,sneakers,male,,"['running', 'shoes', 'running shoes', 'sneakers', 'athletic', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/12%20Dec%202025/Untitled%20design%20-%202025-12-19T010516.169.png
CLOACKDA7DC5,Cloud 6 Black,footwear,15732,on,performance footwear,running shoes,sneakers,male,,"['running', 'shoes', 'running shoes', 'sneakers', 'athletic', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/5%20Dec%202025/12/Untitled%20design%20-%202025-12-26T020754.957.png
AIFO1LO07TRWH,Air Force 1 Low 07 Triple White,footwear,6998,nike,casual footwear,sneakers,sneakers,male,,"['shoes', 'sneakers', 'athletic', 'casual', 'bestseller']",https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/02-04-2025-202946-aifo1lo07trwh_photo1.png
